Qty,Value,Device,Package,Code Product
3,S.Red,LEDSML1206,SML1206,255-036
3,S.Green,LEDSML1206,SML1206,255-026
3,S.Blue,LEDSML1206,SML1206,255-024
3,S.White,LEDSML1206,SML1206,255-035
3,S.Yellow,LEDSML1206,SML1206,255-025
4,22p,C-EUC1206,C1206,241-101
2,32khz,CRYSTALTC26V,TC26V,231-002
16,330,R-EU_R1206,R1206,915-210
4,4k7,R-EU_R1206,R1206,915-204
2,8mhz,CRYSTALHC49S,HC49/S,231-026
3,MINI-USB,MINI-USB-32005-201,32005-201,312-044
2,,PINHD-1X2,1X02,
1,,PINHD-1X7,1X07,
4,IRF530,IRF530,TO220BV,
4,IRF9530,IRF9530,TO220BV,
4,PC817,PC817,DIL04,
1,Kabel kawat,,,
1,,PINHD-1X3,1X03,
1,,PINHD-1X8,1X08,
